id,employee_id,subordinate_id
1,65,120
2,65,121
3,65,243
4,65,294
5,65,302
6,65,379
7,65,397
8,65,538
9,65,630
10,65,660
11,120,47021
12,120,575
13,120,29738
14,120,43207
15,120,42222
16,120,46882
17,120,21916
18,121,27185
19,121,39263
20,121,18332
21,121,26939
22,121,38365
23,121,33867
24,121,4096
25,243,7134
26,243,46753
27,243,2633
28,243,28904
29,243,31688
30,243,7417
31,243,43196
32,294,8000
33,294,30453
34,294,44173
35,294,14691
36,294,8225
37,294,30469
38,294,7143
39,302,35730
40,302,33204
41,302,34143
42,302,15203
43,302,24226
44,302,22468
45,302,6498
46,379,4584
47,379,11016
48,379,23495
49,379,43199
50,379,1153
51,379,31554
52,379,45045
53,397,14601
54,397,46612
55,397,7298
56,397,16310
57,397,28314
58,397,18748
59,397,34672
60,538,24229
61,538,24531
62,538,2083
63,538,24896
64,538,9623
65,538,44520
66,538,38688
67,630,46322
68,630,11840
69,630,41509
70,630,45104
71,630,29515
72,630,31032
73,630,7475
74,660,27466
75,660,25999
76,660,41740
77,660,49028
78,660,43324
79,660,17139
80,660,22262
81,47021,43747
82,47021,17543
83,47021,42653
84,47021,3418
85,47021,879
86,47021,44498
87,47021,43107
88,47021,18920
89,575,42006
90,575,32475
91,575,6088
92,575,19423
93,575,30833
94,575,48991
95,575,5946
96,575,32726
97,29738,7953
98,29738,30445
99,29738,2490
100,29738,25587
101,29738,10642
102,29738,4369
103,29738,43167
104,29738,33582
105,43207,23359
106,43207,28070
107,43207,5881
108,43207,46748
109,43207,29478
110,43207,27085
111,43207,20008
112,43207,43858
113,42222,28053
114,42222,45631
115,42222,28872
116,42222,46527
117,42222,13867
118,42222,41383
119,42222,26900
120,42222,21178
121,46882,22520
122,46882,21833
123,46882,20432
124,46882,47998
125,46882,29771
126,46882,39614
127,46882,34794
128,46882,7678
129,21916,18822
130,21916,39579
131,21916,34375
132,21916,43493
133,21916,30139
134,21916,19697
135,21916,33898
136,21916,47081
137,27185,19037
138,27185,30381
139,27185,12548
140,27185,35754
141,27185,41581
142,27185,30024
143,27185,16869
144,27185,40429
145,39263,11189
146,39263,24628
147,39263,48459
148,39263,19944
149,39263,35613
150,39263,17530
151,39263,20370
152,39263,48298
153,18332,32222
154,18332,23887
155,18332,17087
156,18332,39243
157,18332,44864
158,18332,28632
159,18332,13871
160,18332,3504
161,26939,19351
162,26939,39977
163,26939,37342
164,26939,37468
165,26939,7911
166,26939,20815
167,26939,41413
168,26939,35229
169,38365,33335
170,38365,49801
171,38365,8552
172,38365,26442
173,38365,14352
174,38365,4403
175,38365,15964
176,38365,34015
177,33867,8136
178,33867,34532
179,33867,49175
180,33867,23585
181,33867,26329
182,33867,17909
183,33867,7763
184,33867,47584
185,4096,12160
186,4096,44655
187,4096,37685
188,4096,34135
189,4096,12560
190,4096,36513
191,4096,47444
192,4096,184
193,7134,41358
194,7134,11126
195,7134,14425
196,7134,35808
197,7134,35750
198,7134,29348
199,7134,3836
200,7134,12331
201,46753,22605
202,46753,16629
203,46753,11399
204,46753,29937
205,46753,27092
206,46753,29320
207,46753,28999
208,46753,14595
209,2633,42433
210,2633,16588
211,2633,32423
212,2633,32042
213,2633,42189
214,2633,10039
215,2633,22142
216,2633,30806
217,28904,36397
218,28904,38706
219,28904,7564
220,28904,30391
221,28904,20723
222,28904,17306
223,28904,33103
224,28904,28822
